Leak#,Latitude,Longitude,Base,COF,POF,Subway,Tree,GW,Soil,Total
21,37.54581843,127.1405386,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
22,37.55012184,127.1414433,0.004496273160941178,0.465,0.42,0.0,0.0,2.7,0.0,3.5894962731609414
23,37.55820608,127.1329735,0.03557118927263617,0.465,1.0,0.0,0.0,2.7,0.0,4.200571189272637
24,37.54973083,127.1563605,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
25,37.54828636,127.1250559,0.039165722796764356,0.39,0.42,0.0,0.0,2.7,0.0,3.5491657227967646
26,37.54542845,127.1309114,0.04742587317756678,0.39,0.56,0.0,0.0,2.7,0.0,3.697425873177567
27,37.53390996,127.1448874,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
28,37.5453921,127.1270173,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
29,37.54704516,127.1730466,0.9890130573694068,0.723,1.0,0.0,0.0,2.7,0.0,5.412013057369407
30,37.5611006,127.1333667,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
31,37.55385776,127.1248385,0.35434369377420455,0.39,1.0,0.0,0.0,2.7,0.0,4.444343693774204
32,37.54509759,127.1248064,0.013386917827664779,0.465,0.72,0.0,0.0,2.7,0.0,3.898386917827665
33,37.53259328,127.1505431,0.9890130573694068,0.723,1.0,0.0,0.0,2.7,0.0,5.412013057369407
34,37.52938318,127.1271805,0.00605980149158411,0.54,0.42,0.0,0.0,2.7,0.0,3.6660598014915844
35,37.52673392,127.1445664,0.0198403057340775,0.54,1.0,0.0,0.0,2.7,0.0,4.259840305734078
36,37.56066163,127.1615856,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
37,37.54060008,127.1480558,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
38,37.55668303,127.1529086,0.09112296101485612,0.465,1.0,0.0,0.0,2.7,0.0,4.2561229610148565
39,37.55749932,127.1479822,0.00605980149158411,0.465,0.42,0.0,0.0,2.7,0.0,3.591059801491584
40,37.56202166,127.1616875,0.425557483188341,0.39,1.0,0.0,0.0,2.7,0.0,4.515557483188341
41,37.56878966,127.1758257,0.01098694263059318,0.465,0.72,0.0,0.0,2.7,0.0,3.8959869426305933
42,37.52980374,127.1396208,0.00605980149158411,0.54,0.42,0.0,0.0,2.7,0.0,3.6660598014915844
43,37.52958052,127.1277398,8.244246863982946E-4,0.723,0.42,0.0,0.0,2.7,0.0,3.8438244246863986
44,37.5457638,127.1428658,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
45,37.53777847,127.1468729,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
46,37.54625211,127.1558682,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
47,37.53716641,127.1260274,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
48,37.55502835,127.1370259,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
49,37.55372462,127.1696,0.02931223075135632,0.39,0.42,0.0,0.0,2.7,0.0,3.5393122307513565
50,37.5564237,127.1474193,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
51,37.52865235,127.1425885,0.998498817743263,0.465,1.0,0.0,0.0,2.7,0.0,5.163498817743263
52,37.5510914,127.172926,0.009951801866904317,0.465,0.56,0.0,0.0,2.7,0.0,3.7349518018669046
53,37.53194419,127.1222354,0.18242552380635635,0.39,1.0,0.0,0.0,2.7,0.0,4.272425523806357
54,37.55497531,127.1738974,0.06913842034334682,0.39,0.56,0.0,0.0,2.7,0.0,3.719138420343347
55,37.5612774,127.1487771,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
56,37.54300404,127.1205235,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
57,37.54723652,127.1489769,0.2689414213699951,0.39,1.0,0.0,0.0,2.7,0.0,4.3589414213699955
58,37.52767508,127.1225112,0.05732417589886873,0.39,0.56,0.0,0.0,2.7,0.0,3.707324175898869
59,37.54194607,127.1439604,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
60,37.55338426,127.1441318,0.08317269649392235,0.465,1.0,0.0,0.0,2.7,0.0,4.248172696493922
61,37.56040584,127.1697326,0.23147521650098232,0.39,1.0,0.0,0.0,2.7,0.0,4.321475216500982
62,37.55209826,127.1561258,0.02931223075135632,0.39,0.42,0.0,0.0,2.7,0.0,3.5393122307513565
63,37.53405032,127.1490074,0.026596993576865856,0.39,0.24,0.0,0.0,2.7,0.0,3.356596993576866
64,37.52867266,127.1370316,0.032295464698450495,0.39,0.42,0.0,0.0,2.7,0.0,3.5422954646984506
65,37.52851608,127.1374583,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
66,37.53805432,127.1290587,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
67,37.55100658,127.171515,0.02931223075135632,0.39,0.42,0.0,0.0,2.7,0.0,3.5393122307513565
68,37.55508176,127.126811,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
69,37.55351158,127.1322916,0.02931223075135632,0.723,1.0,0.0,0.0,2.7,0.0,4.452312230751357
70,37.52848893,127.127283,0.0066928509242848554,0.54,0.56,0.0,0.0,2.7,0.0,3.806692850924285
71,37.53123861,127.1295971,0.0066928509242848554,0.465,0.56,0.0,0.0,2.7,0.0,3.731692850924285
72,37.5481249,127.1228705,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
