시료코드 ,시험코드 ,시험종류 ,시험제어방식 ,내부마찰각 ,점착력 
B0594BB041DS06,B0594BB041DS06CU,CU,CU,20.1,0.16
B0594BB041DS07,B0594BB041DS07UU,UU,UU,0,0.37
B0594BB045DS01,B0594BB045DS01UU,UU,UU,0,0.54
B0594BB049DS01,B0594BB049DS01CU,CU,CU,25.9,0.03
B0594BB049DS03,B0594BB049DS03UU,UU,UU,0,0.11
B0594BB049DS05,B0594BB049DS05CU,CU,CU,25.9,0.03
B0594BB049DS05,B0594BB049DS05UU,UU,UU,0,0.19
B0594BB057DS02,B0594BB057DS02UU,UU,UU,0,0.71
B0594BB057DS03,B0594BB057DS03CU,CU,CU,28.4,0.19
B0594BB063DS01,B0594BB063DS01UU,UU,UU,0,0.06
B0594BB063DS01,B0594BB063DS01CU,CU,CU,15,0.02
B0597BH070US01,B0597BH070US01UU,UU,0,0,0.241
B0604BB002US01,B0604BB002US01CU,CU,UD,21.8,0
B0604BB096US01,B0604BB096US01UU,UU,UD,0,0.27
B0633BH040US01,B0633BH040US01CU,CU,0,37,1.24
B0633BH044US01,B0633BH044US01UU,UU,0,0,0.17
B0633BH049US01,B0633BH049US01CU,CU,0,22.4,0.09
B0633BH054US01,B0633BH054US01UU,UU,0,0,0.15
B0633BH062US01,B0633BH062US01CU,CU,0,34.8,0.02
B0643BH030DS01,B0643BH030DS01UU,UU,0,0,0.219
B0648SB006US01,B0648SB006US01UU,UU,0,0,0.073
B0648SB007US01,B0648SB007US01UU,UU,0,0,0.106
B0648SB009US02,B0648SB009DS01UU,0,0,0,0
B0648SB009US02,B0648SB009US02UU,UU,0,0,0.063
B0648SB010US01,B0648SB010US01UU,UU,0,0,0.161
B0648SB011US01,B0648SB011US01UU,UU,0,0,0.127
B0648SB012US01,B0648SB012US01UU,UU,0,0,0.12
B0648SB013US02,B0648SB013US02UU,UU,0,0,0.168
B0648SB014US02,B0648SB014US02UU,UU,0,0,0.134
B0648SB015US01,B0648SB015US01UU,UU,0,0,0.253
B0648SB016US01,B0648SB016US01UU,UU,0,0,0.205
B0648SB016US02,B0648SB016US02UU,UU,0,0,0.174
B0648SB017US01,B0648SB017US01UU,UU,0,0,0.286
B0648SB017US02,B0648SB017US02UU,UU,0,0,0.243
B0648SB018US01,B0648SB018US01UU,UU,0,0,0.08
B0648SB018US02,B0648SB018US02UU,UU,0,0,0.162
B0648SB019US01,B0648SB019US01UU,UU,0,0,0.059
B0648SB020US01,B0648SB020US01UU,UU,0,0,0.156
B0648SB020US02,B0648SB020US02UU,UU,0,0,0.662
B0648SB022US01,B0648SB022US01UU,UU,0,0,0.179
B0648SB022US02,B0648SB022US02UU,UU,0,0,0.386
B0648SB023US01,B0648SB023US01UU,UU,0,0,0.102
B0648SB024US01,B0648SB024US01UU,UU,0,0,0.153
B0648SB026US01,B0648SB026US01UU,UU,0,0,0.294
B0648SB026US02,B0648SB026US02UU,UU,0,0,0.48
B0648SB027US01,B0648SB027US01UU,UU,0,0,0.141
B0648SB028US01,B0648SB028US01UU,UU,0,0,0.075
B0648SB028US02,B0648SB028US02UU,UU,0,0,0.148
B0648SB029US01,B0648SB029US01UU,UU,0,0,0.145
B0648SB033US01,B0648SB033US01UU,UU,0,0,0.291
B0648SB034US01,B0648SB034US01UU,UU,0,0,0.067
B0648SB034US02,B0648SB034US02UU,UU,0,0,0.203
B0648SB035US01,B0648SB035US01UU,UU,0,0,0.297
B0648SB036US01,B0648SB036US01UU,UU,0,0,0.198
B0648SB037US02,B0648SB037US02UU,UU,0,0,0.156
B0648SB038US01,B0648SB038US01UU,UU,0,0,0.377
B0648SB038US02,B0648SB038US02UU,UU,0,0,0.304
B0648SB039US01,B0648SB039US01UU,UU,0,0,0.105
B0648SB041US01,B0648SB041US01UU,UU,0,0,0.113
B0648SB042US01,B0648SB042US01UU,UU,0,0,0.155
B0648SB043US02,B0648SB043US02UU,UU,0,0,0.146
B0648SB044US01,B0648SB044US01UU,UU,0,0,0.156
B0648SB045US01,B0648SB045US01UU,UU,0,0,0.278
B0648SB047US01,B0648SB047US01UU,UU,0,0,0.13
B0648SB048US01,B0648SB048US01UU,UU,0,0,0.219
B0648SB049DS01,B0648SB049DS01UU,UU,strain,0,0.107
B0648SB049US02,B0648SB049US02UU,UU,strain,0,0.107
B0648SB050US03,B0648SB050US03UU,UU,strain,0,0.158
B0648SB053US02,B0648SB053US02UU,UU,strain,0,0.234
B0648SB054DS01,B0648SB054DS01UU,UU,strain,0,0.154
B0648SB055US01,B0648SB055US01UU,UU,stain,0,0.162
B0648SB058US01,B0648SB058US01UU,UU,strain,0,0.184
B0648SB059DS01,B0648SB059DS01UU,UU,strain,0,0.171
B0648SB059US03,B0648SB059US03UU,UU,strain,0,0.171
B0648SB061US02,B0648SB061US02UU,UU,strain,0,0.17
B0648SB064US01,B0648SB064US01UU,UU,strain,0,0.175
B0648SB067US02,B0648SB067US02UU,UU,strain,0,0.173
B0648SB069US01,B0648SB069US01UU,UU,strain,0,0.179
B0648SB070US02,B0648SB070US02UU,UU,strain,2,0.234
B0648SB073US02,B0648SB073US02UU,UU,strain,0,0.142
B0648SB074US02,B0648SB074US02UU,UU,strain,0,0.295
B0650BH009DS01,B0650BH009DS01UU,UU,0,0,0.18
B0650BH010DS01,B0650BH010DS01UU,UU,0,0,0.37
B0650BH011DS01,B0650BH011DS01UU,UU,0,0,0.33
B0650BH013DS01,B0650BH013DS01UU,UU,UU,0,0.26
B0650BH017DS01,B0650BH017DS01UU,UU,0,0,0.23
B0650BH023US01,B0650BH023US01UU,UU,0,0,0
B0650BH023US02,B0650BH023US02UU,UU,0,0,0.59
B0650BH023US03,B0650BH023US03UU,UU,0,0,0.69
B0654BB001US01,B0654BB001US01UU,UU,0,0,0.22
B0654BB002DS01,B0654BB002DS01UU,UU,0,0,0.29
B0654BB002US01,B0654BB002US01UU,UU,0,0,0.2
B0654BB002US02,B0654BB002US02UU,UU,0,0,0.29
B0654BB004US01,B0654BB004US01UU,UU,0,0,0.19
B0654BB006US01,B0654BB006US01CU,CU,0,43.5,0
B0654BB006US02,B0654BB006US02UU,UU,0,0,0.37
B0654BB013US01,B0654BB013US01UU,UU,0,0,0.2
B0654BB013US02,B0654BB013US02CU,CU,0,43,0
B0654BB019US01,B0654BB019US01CU,CU,0,33.8,0
B0654BB019US02,B0654BB019US02UU,UU,0,0,0.24
B0654BB022US01,B0654BB022US01UU,UU,0,0,0.21
B0654BB022US02,B0654BB022US02CU,CU,0,32.9,0
B0654BB032US01,B0654BB032US01CU,CU,0,42,0
B0654BB032US02,B0654BB032US02UU,UU,0,0,0.26
B0654SB002US02,B0654SB002US02UU,UU,0,0,0.39
B0654SB003US01,B0654SB003US01UU,UU,0,0,0.2
B0654SB003US02,B0654SB003US02CU,CU,0,39.7,0
B0654SB004US01,B0654SB004US01UU,UU,0,0,0.18
B0654SB004US02,B0654SB004US02CU,CU,0,39.4,0
B0654SB006US01,B0654SB006US01CU,CU,0,37.9,0
B0654SB006US02,B0654SB006US02UU,UU,0,0,0.34
B0654SB009US01,B0654SB009US01UU,UU,0,0,0.21
B0654SB009US02,B0654SB009US02CU,CU,0,41,0
B0655BH012DS01,B0655BH012DS01UU,UU,0,0,0
B0655BH012US02,B0655BH012US02UU,UU,0,0,0.28
B0655BH013DS01,B0655BH013DS01UU,UU,0,0,0
B0655BH013US02,B0655BH013US02UU,UU,0,0,0.3
B0655BH015US02,B0655BH015US02UU,UU,0,0,0.38
