idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year
25-07573,T,SN,ML,0032-400,SB007,"377052412",SB25,"12",0032-400-1,0032-500-1,"001","012","001",1988/12/30,"0","700",0.00,0.00,"1",69.300,31.62,30.37,29.54,28.17,1.33,1.45,1.39,19.77,"999",,C,,,Ø700,0032-400/Ø700,Ø700/L69.3,Ø700/L69.3/D1.33/D1.45,1988/Ø700/L69.3,1988/HP/Ø700/L69.30/D29.54/D28.17/S19.77,1988/HP/Ø700/L69.30/D 1.33/D 1.45,"01",N,,,"1988","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1988"
25-02000,T,SN,CH,0182-400,SB007,"377052307",SB25,"12",0182-400-1,0184-100-1,"001","012","001",2008/07/15,"0","450",0.00,0.00,"1",45.310,17.95,17.83,16.61,15.93,0.84,1.40,1.12,15.01,"999",,C,,,Ø450,0182-400/Ø450,Ø450/L45.31,Ø450/L45.31/D0.84/D1.40,2008/Ø450/L45.31,2008/HP/Ø450/L45.31/D16.61/D15.93/S15.01,2008/HP/Ø450/L45.31/D 0.84/D 1.40,"40",N,,,"2008","1900","0",,,0.00,"0","05","01",C,Y,,"999",천호동 288번지외 2개소 하수관개량공사,"2008"
25-00820,T,SN,PN,,SB020,"377052326",SB25,"12",,,"999","999","999",1900/01/01,"0","0",0.00,0.00,"1",0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"999",,,,,,,,,,,,"99",N,,,"1900","1900","0",,,0.00,"0","99","01",,N,,"999",,"1900"
25-00357,T,SN,PN,1800-407,SB007,"377052345",SB25,"12",1800-407-1,1800-408-1,"001","012","001",2000/11/13,"0","600",0.00,0.00,"1",3.280,16.06,15.95,15.02,14.87,0.39,0.43,0.41,45.73,"999",,C,,,Ø600,1800-407/Ø600,Ø600/L3.28,Ø600/L3.28/D0.39/D0.43,2000/Ø600/L3.28,2000/HP/Ø600/L3.28/D15.02/D14.87/S45.73,2000/HP/Ø600/L3.28/D 0.39/D 0.43,"40",N,,,"2000","1900","0",,,0.00,"0","05","01",C,Y,,"999",성내동 300번지 주변 하수암거 개량공사,"2000"
25-00945,T,SN,PN,0114-118,SB007,"377052326",SB25,"12",0114-118-1,0114-119-1,"001","037","001",1900/01/01,"0","450",0.00,0.00,"1",14.480,19.98,20.08,19.22,19.18,0.26,0.40,0.33,2.76,"999",,D,,,Ø450,0114-118/Ø450,Ø450/L14.48,Ø450/L14.48/D0.26/D0.40,1900/Ø450/L14.48,1900/CP/Ø450/L14.48/D19.22/D19.18/S2.76,1900/CP/Ø450/L14.48/D 0.26/D 0.40,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1900"
25-01937,T,SN,CH,0198-301,SB007,"377052317",SB25,"12",0188-310-1,0198-302-1,"001","012","001",2009/08/18,"0","450",0.00,0.00,"1",27.160,17.03,16.95,15.62,15.58,0.91,0.87,0.89,1.47,"999",,C,,,Ø450,0198-301/Ø450,Ø450/L27.16,Ø450/L27.16/D0.91/D0.87,2009/Ø450/L27.16,2009/HP/Ø450/L27.16/D15.62/D15.58/S1.47,2009/HP/Ø450/L27.16/D 0.91/D 0.87,"11",N,,,"2009","1900","0",,,0.00,"0","03","01",C,N,,"999",암사동430주변외3개소하수관개량공사,"2009"
25-08088,T,SN,ML,0049-513,SB007,"377052310",SB25,"12",0049-513-1,0049-500-1,"001","012","001",1900/01/01,"0","1200",0.00,0.00,"1",4.500,26.61,26.48,24.89,24.65,0.47,0.58,0.53,53.33,"999",,B,,,Ø1200,0049-513/Ø1200,Ø1200/L4.5,Ø1200/L4.5/D0.47/D0.58,1900/Ø1200/L4.5,1900/HP/Ø1200/L4.50/D24.89/D24.65/S53.33,1900/HP/Ø1200/L4.50/D 0.47/D 0.58,"01",N,,,"1900","1900","0",,,0.00,"0","03","01",B,N,,"999",,"1900"
25-03456,T,SN,CH,0399-505,SB007,"377052305",SB25,"13",0399-505-1,0399-506-1,"001","012","001",1994/01/01,"0","600",0.00,0.00,"1",41.740,16.15,15.93,14.10,14.11,1.45,1.22,1.34,0.24,"999",,B,,,Ø600,0399-505/Ø600,Ø600/L41.74,Ø600/L41.74/D1.45/D1.22,1994/Ø600/L41.74,1994/HP/Ø600/L41.74/D14.10/D14.11/S0.24,1994/HP/Ø600/L41.74/D1.45/D1.22,"41",N,,2012년정확도 펌프장,"1994","1900","0",,,0.00,"0","02","01",B,N,,"001",,"1994"
25-18318,T,SN,AS,1700-401,SB007,"377051899",SB25,"13",1700-401-01,1700-400-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",32.630,31.02,29.44,28.82,28.07,1.75,0.92,1.34,22.98,"999",,,,,Ø450,1700-401/Ø450,Ø450/L32.63,Ø450/L32.63/D1.75/D0.92,1900/Ø450/L32.63,1900/HP/Ø450/L32.63/D28.82/D28.07/S22.98,1900/HP/Ø450/L32.63/D1.75/D0.92,"41",N,,2012년정확도 재개발지역,"1900","1900","0",,,0.00,"0","02","01",,N,,"001",,"1900"
25-11491,T,SN,KDT,0207-304,SB007,"377052347",SB25,"12",0207-304-01,0207-305-1,"001","012","001",1990/07/23,"0","600",0.00,0.00,"1",44.720,15.38,15.31,14.53,13.90,0.20,0.76,0.48,14.09,"999",,D,,,Ø600,0207-304/Ø600,Ø600/L44.72,Ø600/L44.72/D0.20/D0.76,1990/Ø600/L44.72,1990/HP/Ø600/L44.72/D14.53/D13.90/S14.09,1990/HP/Ø600/L44.72/D 0.20/D 0.76,"02",N,,,"1990","1900","0",,,0.00,"0","03","01",D,N,,"999",성내동 420번지 하수도 정비공사(개량-적색),"1990"
