X,Y,GU_NM,HNR_NAM,MTC_AT,MASTERNO,SLAVENO,NEADRES_NM,TRE_SOM,THT_HG,RM,MGE_LVL,LC,EVMT_IFNE,PLT_DE,RPRUNG_CN,ROAD_LT,ETC,GU_NO,DONG_NM,ETRC_YNO,SN,RPLNT_CN,ITM_ERY,BHT_DM,RNK_LC_CN,WTRTB_BT,EXT_YNO,MGE_ORG,DME_ETT,CMFE_LU_ST,DSPRVN_CN,MGE_MTE,MNCXPN_CT,TRE_IDN,TFCLNE_CO,PTN_CVR,WIDTH_NM,VAL_LVL,RNK_BHT_HG,WDPT_NM,CREAT_DE,PO_FE_NM
127.1357696,37.52589036,강동구,,,,,,8,3,,2,,0,,,0,,25,,2,0,,6,12,12,3,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0093,0,1,둔촌로,0,3,느티나무,,
127.1677679,37.55697079,강동구,,,,,,8,7,,3,,0,,,0,,25,,2,64,,6,15,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0064,0,1,고덕동길,0,3,느티나무,,
127.1671454,37.55693827,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,81,,6,10,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0081,0,1,고덕동길,0,3,느티나무,,
127.1267876,37.53740771,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,16,12,2,0,푸른도시과,2,0,,0,,25-천호대로-가-0525,0,1,천호대로,0,3,느티나무,,
127.1668669,37.55671683,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1282,,6,15,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1282,0,1,고덕동길,0,3,느티나무,,
127.1270085,37.55927355,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,880,,6,20,9,3,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0880,0,1,올림픽대로,0,3,느티나무,,
127.1346214,37.52283418,강동구,,,,,,8,5,,2,둔촌주공204동,0,,,0,,25,,2,28,,8,15,12,5,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0028,0,1,둔촌로,0,3,느티나무,,
127.1332118,37.53543177,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,11,12,3,0,푸른도시과,2,0,,0,,25-천호대로-가-0578,0,1,천호대로,0,3,느티나무,,
127.1597957,37.57114093,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1375,0,1,올림픽대로,0,3,느티나무,,
127.1709069,37.55720687,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,1356,,6,15,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1356,0,1,고덕동길,0,3,느티나무,,
